kana,kanji,english
nasu,為す,to build up establish form
hikiukeru,引き受ける,to take on assume responsibility of
sonoue,その上,in addition futhermore
kawaru,替わる,to succeed to take the place of replace
toraeru,捉える,to catch capture arrest seize
oikakeru,追いかける,to chase run after pursue
ofureru,溢れる,to overflow flood
koboreru,零れる,to spill fall out of overflow
kobosu,零す,to spill drop shed tears complain
youyaku,漸く,finally at last barely narrowly only just
megumareru,恵まれる,to be blessed with rich in
toridasu,取り出す,to take out to produce
chikau,誓う,to swear vow take an oath pledge
tobikomu,飛び込む,to jump in leap into barge in
suppai,酸っぱい,sour acidic
takuwaeru,蓄える,to store save up stock up on accumulate
rousoku,ろうそく,candle
mezasu,目指す,to aim at go toward head for
horu,掘る,to dig excavate delve into
kakawaru,関わる,to be affected be influenced
tatoeru,例える,to compare use a metaphor simile
kaette,却って,on the contrary rather instead
iyagaru,嫌がる,to appear uncomfortable with to hate
haeru,生える,to grow sprout
yokosu,寄越す,to send to hand over (money)
tamerau,躊躇う,to hesitate to waver
samatageru,妨げる,to disturb prevent obstruct hinder
tsuku,点く,to be lit catch fire ignite be turned on
tsunagaru,繋がる,to connect be connected to related
okotaru,怠る,to shirk
matomeru,纏める,to collect put together consolidate
moukeru,儲ける,to profit earn gain
medatsu,目立つ,to be conspicuous to stand out
fuku,拭く,to wipe to dry
urayamashii,羨ましい,jealous envious
keru,蹴る,to kick
hayaru,流行る,to be popular to come into fashion
sawagashii,騒がしい,noisy boisterous
arigatai,有難い,grateful thankful welcome
tasukaru,助かる,to be helped
tokeru,溶ける,to melt to thaw
yakusu,訳す,to translate
tsubusu,潰す,to smash crush flatten destroy
meimei,銘々,each individual
nikumu,憎む,to hate to detest
taishite,大して,not so much not very
taezu,絶えず,constantly always continually steadily
zonjiru,存じる,to think feel consider know
fuyasu,増やす,to increase to add to augment
ajiwau,味わう,to taste savor relish appreciate
mejime,惨め,miserable wretched unhappy sad pitiable
taisou,大層,very extremely exceedingly greatly
atatameru,温める,to warm to heat up
ikubun,幾分,somewhat to some extent degree
hitoyasumi,一休み,short rest break breather
narasu,鳴らす,to ring sound chime beat snap
tomeru,泊める,to give shelter to accommodate
sakanoboru,遡る,to go upstream go back
taru,足る,to be sufficent to be enough worthy
tamaru,溜まる,to collect gather save accumulate
ayashii,怪しい,suspicious dubious questionable dodgy fishy
kaku,掻く,to scratch itch
hitorideni,独りでに,by itself automatically naturally
nakanaori,仲直り,reconciliation to make peace with
fusagu,塞ぐ,to stop up close up block up cover
sekkaku,折角,with trouble at great pains long awaited
heiki,平気,no problem not concerned
monosugoi,物凄い,terrific staggering tremendous frightful
hikkakaru,引っかかる,to be caught in stuck get mixed up in
miorosu,見下ろす,to overlook command a view of look down on
ensoku,遠足,excursion outing trip
mazeru,混ぜる,to mix stir blend
fusagaru,塞がる,to be closed blocked shut up clogged
akogareru,憧れる,to long for yearn after admire
yakamashii,喧しい,noisy loud fussy
otonashii,大人しい,gentle quiet mild tame
hikakuteki,比較的,comparatively relatively
karappo,空っぽ,empty vacant hollow
erai,偉い,great excellent famous
nozoku,覗く,to peek though into sneak a look
tomokaku,兎も角,anyhow anyway in any case
shippa,尻尾,tail tip
tsuku,突く,to prick stab poke prod nudge
moyasu,燃やす,to burn
moushiwakenai,申し訳ない,im sorry i feel guilty
tachimachi,忽ち,in an instant right away immediately
maku,巻く,to wind coil roll
soru,剃る,to shave
minikui,醜い,ugly unattractive
terasu,照らす,to shine to illuminate to compare
wabiru,詫びる,to apologize
akkamashii,厚かましい,impudent shameless brazen
omoigakenai,思いがけない,unexpected by chance
maku,撒く,to scatter sprinkle distribute
kuzusu,崩す,to destroy demolish tear down
tsukkomu,突っ込む,to thrust into to cram to plunge
uragaesu,裏返す,to turn inside out turn the other way
sasayaku,囁く,to whisper to murmur
nibui,鈍い,dull blunt dim
kawaigaru,可愛がる,to be affectionate to treat tenderly
soroeru,揃える,to collect gather get together
shiku,敷く,to spread out lay out
nuu,縫う,to sew to stitch
kumitateru,組み立てる,to assemble put together to set up build
koishii,恋しい,yearned for longed for missed
sameru,冷める,to cool down to get cold
mageru,曲げる,to bend to curve lean tilt
chikazukeru,近づける,to bring near close
massao,真っ青,deep blue bright blue
utsuru,映る,to be reflected displayed portrayed
oginau,補う,to supplement to compensate for to cover
amu,編む,to knit
sumai,住まい,dwelling house residence
tsumazuku,躓く,to trip over to stumble
kosuru,擦る,to rub to scrub to scrape
kagu,嗅ぐ,to sniff to smell
amayakasu,甘やかす,to pamper to spoil
hitorigoto,独り言,soliloquy monologue speaking to oneself
katamuku,傾く,to incline toward to slant
shikyuu,至急,urgent pressing immediate urgently
zuuzuushii,図々しい,impudent shameless brazen audacious
sawayaka,爽やか,fresh refreshing invigorating
kudakeru,砕ける,to break be broken smashed to collapse
darashinai,だらし無い,slovenly sloppy untidy
namaiki,生意気,cheeky impertinent audacious cocky
chirakaru,散らかる,to be in disorder lie scattered around
toru,捕る,to take to catch to capture
fukumeru,含める,to include
hau,這う,to crawl creep go on all fours
mezamashidokei,目覚まし時計,alarm
sassoku,早速,at once immediately without delay
katamaru,固まる,to harden to solidify
kogeru,焦げる,to burn scorch char
aratamete,改めて,another time again
kaeru,返る,to return to come back
uyamau,敬う,to respect to honor
hitsujuhin,必需品,necessities essentials
uku,浮く,to float to become merry loose feel out of it
hameru,嵌める,to insert to put in to put on
uketamawaru,承る,to hear to be told to know
mushiatsui,蒸し暑い,humid
ohayou,お早う,good morning
seou,背負う,to carry on ones back to take responsibility for
oojiroi,青白い,pale pallid
kewashii,険しい,precipitous rugged inaccessible impregnable
dekiagaru,出来上がる,to be completed be finished be ready
mechakucha,目茶苦茶,absurd unreasonable
kudaranai,下らない,trivial trifling insignificant worthless
datou,妥当,valid proper right appropriate
nanibun,何分,some any a little
katei,仮定,assumption supposition hypothesis
ikinari,行き成り,abruptly suddenly all of a sudden
iidasu,言い出す,to begin to say start talking to broach
kakuchi,各地,every place various places
korogaru,転がる,to roll to tumble fall over
chikayoru,近寄る,to approach to draw near
yomigaeru,蘇る,to be resurrected resuscitated revived
shizumaru,静まる,to become quiet to calm down
okawari,お代わり,another helping seconds
sumu,澄む,to become clear transparent
tadashi,但し,but however provided that
nigasu,逃がす,to set free to let go to release
rakudai,落第,exam failure failing to advance
haneru,跳ねる,to jump to leap to prance to bounce
sainan,災難,calamity misfortune disaster
kureguremo,くれぐれも,sincerely repeatedly over and over
shimeru,湿る,to become damp moist wet
sorou,揃う,to be complete to be satisfied
mei,姪,niece
moukaru,儲かる,to be profitable
saku,裂く,to tear to rip up to cut
osowaru,教わる,to be taught to learn
sakihodo,先ほど,a short while ago a moment ago just now
niramu,睨む,to glare at to stare intensely at
kasanaru,重なる,to be piled up to lie on top of on another
mottainai,勿体ない,wasteful a waste too good
teru,照る,to shine
kyoushuku,恐縮,being grateful thankful
tatamu,畳む,to fold clothes umbrella
nonki,呑気,carefree happy go lucky easygoing
motomoto,元々,originally by nature from the start
yakan,薬缶,kettle
oyasumi,お休み,holiday day off rest good night
dassen,脱線,derailment digression deviation
tokekomu,溶け込む,to melt into to dissolve into
omoikomu,思い込む,to be convinced that to assume that
gobusata,ご無沙汰,not contacting for a while
itsunomanika,いつの間にか,before you know it
tsuuyou,通用,popular use circulation
tagayasu,耕す,to plow till cultivate
koshikakeru,腰掛ける,to sit down
heibon,平凡,ordinary common
minoru,実る,to bear fruit to ripen
youmou,羊毛,wool
ukemotsu,受け持つ,to take charge of
tameru,溜める,to amass to accumulate to store
kawakasu,乾かす,to dry clothes to desiccate
memai,目眩,dizziness giddiness
ibaru,威張る,to put on airs to act big
uchiawase,打ち合わせ,advance arrangements prep meeting
nazonazo,謎々,riddle puzzle enigma
shinzuru,信ずる,to believe in to have faith in
maneru,真似る,to mimic to imitate
shiokarai,塩辛い,salty briny
souzoushii,騒々しい,noisy loud
oshii,惜しい,regrettable disappointing unfortunate close
inryoku,引力,attraction affinity gravitational pull
hikitomeru,引き止める,to detain check restrain stop
haku,掃く,to sweep brush clean
gehin,下品,vulgar indecent crude
detarame,出鱈目,nonsense irresponsible remark random
fukeru,更ける,to get late to advance to wear on
nessuru,熱する,to heat up
moshikashitara,若しかしたら,perhaps maybe by some chance
meue,目上,superior senior
iyoiyo,いよいよ,more and more at last finally
tameiki,ため息,sigh
mazaru,混ざる,to be mixed blended with mix
omotai,重たい,heavy weighty serious gloomy
yoru,依る,to be due to to be caused by
nurasu,濡らす,to wet moisten dampen soak
kiseru,着せる,to put clothes on to dress
saguru,探る,to feel around for fumble grope search
tansho,短所,defect demerit weak point
todana,戸棚,cupboard locker closet cabinet
hiromeru,広める,to spread propagate popularize broaden
gomu,ゴム,gum rubber eraser
matomaru,纏まる,to be settled to find a resolution
fuzakeru,巫山戯る,to joke jest kid josh make fun of
oshare,お洒落,smartly dressed stylish
totonou,整う,to be ready prepared arranged
majiru,混じる,to be mixed blended with combined
harigane,針金,wire
nieru,煮える,to be boiled cooked
kuzu,屑,waste scrap garbage piece of trash loser
kumu,汲む,to ladle scoop up to pump
yopparai,酔っ払い,drunkard
guusuu,偶数,even number
urikire,売り切れ,sold out
muku,剥く,to peel skin pare strip
kogoeru,凍える,to freeze become numb
mittomonai,見っともない,shameful disgraceful indecent unseemly
nori,糊,paste glue
tsuriau,釣り合う,to balance be in harmony go well together
waku,湧く,to gush forth to surge
shigeru,茂る,to grow thickly overgrow be rampant
toriireru,取り入れる,to harvest reap take in
chijimu,縮む,to shrink contract diminish in size
suekko,末っ子,youngest child
atehameru,当てはめる,to apply to adapt
kashima,貸間,room for rent
hikkomu,引っ込む,to draw back to withdraw
oozappa,大雑把,rough crude broad loose
maido,毎度,each time always often
otetsudaisan,お手伝いさん,maid
nigoru,濁る,to become muddy cloudy to get impure
horu,彫る,to carve engrave sculpt chisel
kousa,交差,crossing intersection
tsurusu,吊るす,to hang up
arai,荒い,rough wild violent
tokubai,特売,special sale
tsukiataru,突き当たる,to run into to collide with
chiru,散る,to fall (blossoms) to scatter
katazuku,片付く,to be put in order to clean up
asameru,治める,to govern to manage
yuudachi,夕立,sudden evening shower rain
mabushii,眩しい,dazzling radiant bright
sasuga,さすが,as one would expect still all the same after all
koshiraeru,拵える,to make to manufacture
mabuta,瞼,eyelid
kaesu,帰す,to send someone back home
chakuchaku,着々,steadily
tokorotokoro,所々,here and there in places
hagasu,剥がす,to tear peel rip strip off
wakawakashii,若々しい,youthful young
hitodoori,人通り,pedestrian traffic
nagabiku,長引く,to be prolonged to drag on
hougaku,方角,direction way
shibomu,萎む,to wither wilt droop
medetai,めでたい,happy joyous naive
machiawaseru,待ち合わせる,to rendezvous to arrange to meet
seisho,清書,clean copy
kuyashii,悔しい,frustrated regrettable
oikosu,追い越す,to pass to overtake
tekkyou,鉄橋,railway bridge iron bridge
hinoiri,日の入り,sunset
saisoku,催促,pressing urging demanding
uramu,恨む,to bear a grudge against to resent blame
kudaku,砕く,to break to smash
chirasu,散らす,to scatter to cause a shower of
korogasu,転がす,to roll to wheel
toubun,等分,division into equal parts
meizuru,命ずる,to order to command
mendoukusai,面倒くさい,annoying bothersome
tsukihi,月日,time years days ones life moon and sun
fuketsu,不潔,unclean dirty filthy
jukugo,熟語,idiom idioms
kudoi,くどい,reptitious long winded wordy tedious
michijun,道順,route way course directions
oyatsu,お八つ,between meal snack refreshment
sukizuki,好き好き,matter of taste
taku,炊く,to cook boil
aogu,扇ぐ,to fan incite
haraimodosu,払い戻す,to repay to pay back refund
kanzuru,感ずる,to feel to sense
sasu,注す,to pour to serve
tsunagari,繋がり,connection link relationship
keta,桁,digit
kiyoi,清い,clear pure
shouzuru,生ずる,to produce to yield
jinzou,人造,artificial man made imitation synthetic
chirigami,ちり紙,tissue paper toilet paper
binsen,便箋,writing paper stationary
noru,載る,to appear in text to be listed
shishagonyuu,四捨五入,round fractions up
kyuukou,休講,cancellation of a class
youchi,幼稚,infancy childish
matagu,跨ぐ,to step over across to cross
yokubari,欲張り,greed
awatadashii,慌ただしい,busy hurried confused flurried
naderu,撫でる,to stroke caress brush gently comb to pat
katayoru,偏る,to learn to be unbalanced biased
saijitsu,祭日,national holiday
shitagaki,下書き,draft rough copy
kumiawase,組み合わせ,combination assortment set
kigae,着替え,changing clothes change of clothes
arawasu,著す,to write to publish
teikyuubi,定休日,regular holiday day off
densen,伝染,contagion infection
matsuru,祭る,to deify to enshrine
binzume,瓶詰め,bottling bottled
haraikomu,払い込む,to deposit to pay in
kanchigai,勘違い,misunderstanding wrong idea
isamashii,勇ましい,brave valiant gallant courageous
sasu,射す,to shine
ryakusu,略す,to abbreviate to omit
hikizan,引き算,subtraction
bussou,物騒,dangerous unsettled troubled disturbed
hogaraka,朗らか,cheerful merry sunny
hanahadashii,甚だしい,extreme terrible intense severe
zuhyou,図表,chart diagram graph figure
amado,雨戸,sliding storm shutter
chuusei,中性,neutral
suiji,炊事,cooking kitchen work
uranau,占う,to tell someones fortune to forecast to predict
muji,無地,plain patternless
wan,椀,bowl
hitomazu,一先ず,for now for the time being
hikyou,卑怯,cowardly unfair
bakarashii,馬鹿らしい,absurd foolish stupid silly
soubetsu,送別,farewell send off
bocchan,坊ちゃん,boy young master
sontoku,損得,loss and gain advantage and disadvantage
orosu,卸す,to sell wholesale
nikurashii,憎らしい,hateful detestable horrible
gokurousama,ご苦労様,thank you for your hard work
shakkuri,しゃっくり,hiccup
niwaka,にわか,sudden abrupt unexpected
yuge,湯気,steam vapor
ogamu,拝む,to assume the posture of praying
shouben,小便,urine piss pee urination
banchi,番地,house number address
suru,刷る,to print
zoukin,雑巾,dust cloth
shikakui,四角い,square rectangle
kawaku,渇く,to be thirsty
tanomoshii,頼もしい,reliable
momu,揉む,to rub massage knead
chijireru,縮れる,to be wavy curled frizzled
udon,うどん,udon thick japanese wheat noodles
junjou,純情,pure heart innocent naive
saji,さじ,spoon
iremono,入れ物,container case receptacle
kakitori,書き取り,writing down from other material
kakezan,掛け算,multiplication
sashitsukae,差し支え,hindrance impediment
niou,匂う,to be fragrant to smell
onegaishimasu,お願いします,please
goran,ご覧,please try to
mikake,見かけ,outward appearance
onnanohito,女の人,woman
shoganai,しょうがない,theres no other way cant be helped
hikkurikaeru,ひっくり返る,to be overturned to turn over
odekake,お出かけ,about to leave or go out
yamuwoenai,やむを得ない,cannot be helped unavoidable
osakini,お先に,before ahead pardon me
tanbo,田んぼ,paddy field farm
itterasshai,いってらっしゃい,have a good day take care
janken,じゃんけん,rock paper scissors janken
hirobiro,広々,extensive spacious
nikui,憎い,hateful abominable destestable
hanashichuu,話し中,busy (phone) in talks
kuyamu,悔やむ,to mourn to regret
shiagaru,仕上がる,to be finished completed done
bouya,坊や,boy son child
kou,乞う,to beg ask request invite
hasamaru,挟まる,to get between to be caught
tokuchou,特長,strong point strength
kogasu,焦がす,to burn scorch singe char
akumade,飽くまで,to the bitter end
sakasama,逆さま,inverted reversed wrong way round
iitsukeru,言いつける,to tell to order to direct
toorikakaru,通りかかる,to happen to pass by
okazu,お菜,small side dish
inku,インク,ink
baransu,バランス,balance
u-ru,ウール,wool
damu,ダム,dam
nokogiri,のこぎり,saw
pata-n,パターン,pattern
obasan,おばさん,aunt
buro-chi,ブローチ,brooch
soshite,そして,and then thus and now
sekidou,赤道,equator
tsume,爪,nail claw talon hoof
heiya,平野,plain open field
koyubi,小指,little finger toe pinky
kasen,下線,underline underscore
sumi,墨,ink
koto,琴,koto (13 string instrument)
sonohoka,その他,the rest the others
ojigi,お辞儀,bow bowing
baketsu,バケツ,bucket
burausu,ブラウス,blouse
moderu,モデル,model
handoru,ハンドル,handle
futa,蓋,cover lid cap
sute-ji,ステージ,stage
daiyamondo,ダイヤモンド,diamond
ribon,リボン,ribbon
nekkuresu,ネックレス,necklace
senchi,センチ,centimeter cm
manshon,マンション,apartment building
burashi,ブラシ,brush
puroguramu,プログラム,program
purattoho-mu,プラットホーム,platform
akusento,アクセント,accent
ja-narisuto,ジャーナリスト,journalist
o-kesutora,オーケストラ,orchestra
cho-ku,チョーク,chalk choke
kaba-,カバー,cover
suta-to,スタート,start
bo-nasu,ボーナス,bonus
sarari-man,サラリーマン,salaryman salary man
konkuri-to,コンクリート,concrete
semento,セメント,cement
daiyaru,ダイヤル,dial
te-ma,テーマ,theme topic
intabyu,インタビュ,interview
bitamin,ビタミン,vitamin
posuta-,ポスター,poster
shi-tsu,シーツ,sheet sheets
karori-,カロリー,calorie
rizumu,リズム,rhythm
sairen,サイレン,siren
rokka-,ロッカー,locker
nairon,ナイロン,nylon
kyanpasu,キャンパス,campus
fasuna-,ファスナー,fastener zipper
furaipan,フライパン,frying pan
konku-ru,コンクール,competition contest
orugan,オルガン,organ instrumen
tenpo,テンポ,tempo
masuku,マスク,mask
rittoru,リットル,liter
mishin,ミシン,sewing machine
suraido,スライド,slide
antena,アンテナ,antenna
reja-,レジャー,leisure
renzu,レンズ,lens
sutoppu,ストップ,stop
supi-ka-,スピーカー,speaker
sensu,扇子,folding hand fan
miri,ミリ,milli millimiter
shiri-zu,シリーズ,series
sanpuru,サンプル,sample
bando,バンド,band
gyangu,ギャング,gang
sutokkingu,ストッキング,stocking stockings
korekushon,コレクション,collection correction
ko-rasu,コーラス,chorus
iko-ru,イコール,equal
epuron,エプロン,apron
ko-su,コース,course route
kantou,関東,kanto tokyo and surrounding area
ooyoso,おおよそ,about roughly generally
meshita,目下,subordinate inferior junior
heikou,並行,going side by side
shimijimi,しみじみ,deeply seriously
odokasu,脅かす,to threaten intimidate
urayamu,羨む,to envy be jealous of
kajiru,かじる,to gnaw nibble bite munch
taiboku,大木,large tree
hikkurikaesu,ひっくり返す,to turn over flip inside out
hinichi,日にち,date day
shiraga,白髪,white gray hair
surechigau,すれ違う,to pass by miss each other
fubo,父母,father and mother parents
omedetai,おめでたい,special happy
yabuku,破く,to tear to rip
houru,放る,to throw fling hurl toss
aburu,炙る,to warm dry toast
banzai,万歳,banzai hooray cheer
chairoi,茶色い,light brown
tsuuzuru,通ずる,to be open to communicate with
nadaraka,なだらか,gentle gently
junjun,順々,in order in turn
sasu,挿す,to insert to put in
tsuuchou,通帳,passbook bankbook
konaida,こないだ,the other day lately recently
tsunageru,つなげる,to connect
tenten,点々,here and there
chikasui,地下水,underground water
kyokusen,曲線,curve
bouhan,防犯,prevention of a crime security
hankei,半径,radius
zousen,造船,shipbuilding ship building
midashi,見出し,heading headline title caption
danchi,団地,housing complex
choumiryou,調味料,seasoning flavoring condiment
bungei,文芸,literature the arts
goudou,合同,combination union joint
noudo,濃度,concentration density
kanki,換気,ventilation
ryouji,領事,consul
rettou,列島,archipelago chain of islands
tokonoma,床の間,tokonoma alcove
shoudoku,消毒,disinfection sterilization
todomaru,とどまる,to remain abide stay
hodoku,ほどく,to undie untie unfasten unravel
kiwotsukeru,気をつける,to be careful take care
karakau,揶揄う,to tease to make fun of
aidea,アイデア,idea
sayounara,さようなら,farewell goodbye so long
tsukeru,点ける,to turn on
butsukaru,ぶつかる,to bump run into collide with
butsukeru,ぶつける,to hit ones head to strike
sotto,そっと,softly gently quietly lightly
yakedo,やけど,salad
sukeju-ru,スケジュール,schedule
ukkari,うっかり,carelessly thoughtlessly inadvertenly
kuttsuku,くっつく,to stick to
dokidoki,ドキドキ,thump pit a pat beat fast throb
arekore,あれこれ,this and that
shitsukoi,しつこい,relentless insistent
purasuchikku,プラスチック,plastic
butsubutsu,ぶつぶつ,grunt grumle complaint mutter mumble
kossori,こっそり,stealthily secretly in secret
yogosu,汚す,to dirty to defile
shibireru,痺れる,to go numb
menyu-,メニュー,menu
nikoniko,ニコニコ,with a friendly grin
akireru,呆れる,to be amazed shocked astonished
douse,どうせ,anyhow in any case
reberu,レベル,level
doku,退く,to step aside to move
maamaa,まあまあ,so so passable
pisutoru,ピストル,pistol
kuri-ningu,クリーニング,cleaning
sukkiri,すっきり,refreshingly with a feeling of relief
ka-bu,カーブ,curve
kokku,コック,cook chef
ranchi,ランチ,lunch
rasshuawa-,ラッシュアワー,rush hour
shi-zun,シーズン,season period
suchuwa-desu,スチュワーデス,stewardess flight attendant
tokkuni,とっくに,long ago
motareru,もたれる,to lean on
ku-ra-,クーラー,air conditioner cooler
me-ta-,メーター,meter
mo-ta-,モーター,motor
robi-,ロビー,lobby lounge
kushami,くしゃみ,sneeze
hiatari,日当たり,sunny place sunlight
daburu,ダブル,double
funabin,船便,mail by sea
tsubureru,潰れる,to be crushed smashed broken
yabureru,破れる,to get torn tear rip break
mainasu,マイナス,minus
kara-,カラー,color
tore-ningu,トレーニング,training
zurasu,ずらす,to shift move slide
bini-ru,ビニール,vinyl record
kutabireru,草臥れる,to get tired become exhausted
pantsu,パンツ,pants underpants
hineru,捻る,to twist
shatta-,シャッター,shutter
beteran,ベテラン,veteran
hakari,秤,scale
zurui,ずるい,sly cunning sneaky unfair
purinto,プリント,print
gisshiri,ぎっしり,tightly packed crammed
mafura-,マフラー,scarf
okagesamade,おかげさまで,thankfully fortunately luckily
modan,モダン,modern
kuttsukeru,くっつける,to attack to stick together
rekurie-shon,レクリエーション,recreation
share,洒落,joke pun jest fashionable
o-tome-shon,オートメーション,automation
kasetto,カセット,cassette game cartridge
noronoro,のろのろ,slowly sluggishly
fuwafuwa,ふわふわ,lightly floating drifting soft
urouro,うろうろ,restlessly aimlessly without purpose
mekkiri,めっきり,remarkably noticeably considerably
echiketto,エチケット,politeness good manners etiquette
samasu,冷ます,to cool
sosokkashii,そそっかしい,careless thoughtless
nanba-,ナンバー,number
konsento,コンセント,outlet wall socket
hajimeni,初めに,first of all firstly
bane,ばね,spring bounce
ranningu,ランニング,running
shagamu,しゃがむ,to squat to crouch
suku-ru,スクール,school
hitotoori,一通り,generally roughly more or less
seisuu,整数,integer
nakayubi,中指,middle finger toe
gojuuon,五十音,gojuuon japanese syllabary
fusuma,襖,fusuma japanese sliding screen
ido,緯度,latitude
kamisori,剃刀,razor
okurigana,送り仮名,okurigana kana after kanji
zouri,草履,zori traditional japanese thonged sandals
mikagetsu,三日月,new moon
bokuchiku,牧畜,livestock farming
kanazukai,仮名遣い,kanazukai kana orthogoraphy spelling
fugou,符号,sign mark symbol code
bunsuu,分数,fraction
hiragana,ひらがな,hiragana
mokuji,目次,table of contents
katakana,かたかな,katakana
shousuu,小数,decimal fraction
dotto,どっと,suddenly bursting out
etto,えっと,let me see well uhh
sesseto,せっせと,diligently with all power
ueitoresu,ウェイトレス,waitress
souieba,そういえば,now that you mention it by the way
nejiru,捩る,to screw to twist
odaijini,お大事に,feel okay get well soon
omataseshimashita,お待たせしました,thank you for waiting
zurari,ずらり,in a row in a line
daen,楕円,ellipse
suka-fu,スカーフ,scarf
gamu,ガム,gum
oiru,オイル,oil
shoppu,ショップ,shop
minareru,見慣れる,to become used to seeing
iru,炒る,to roast
tabi,足袋,tabi japanese socks
chokuryuu,直流,direct current dc DC
kasokudo,加速度,acceleration
doukaku,同格,the same rank
bushu,部首,kanji radical
yattsukeru,やっつける,to beat to attack
kuwaeru,咥える,to hold in ones mouth
kenchou,県庁,prefectural office
meyasu,目安,criterion rough estimate approximation
baibai,バイバイ,bye bye see you
yobikakeru,呼びかける,to call out to
kawara,瓦,roof tile
zukei,図形,figure shape graphic
suisan,水産,fisheries
keinou,芸能,public entertainment performing arts
kayou,歌謡,song ballad
gouri,合理,rationality
shuukin,集金,money collection
gensan,原産,place of origin
genni,現に,actually really
kakou,下降,descent fall drop decline
kotai,個体,individual
zougen,増減,increase and decrease
ousetsu,応接,reception
chuushou,抽象,abstract
sankaku,三角,triangle
jiban,地盤,ground earth crust
choutan,長短,length long and short
moru,盛る,to serve
dekiagari,出来上がり,completion finish
taue,田植え,rice planting
maisuu,枚数,number of flat things
donburi,丼,donburi bowl
sashihiki,差し引き,subtraction
zashiki,座敷,tatami room
nouson,農村,rural farm village
sanrin,山林,mountains and forest
kousou,高層,high rise
sanchi,産地,origin producing area
jiei,自衛,self defense
issei,一斉,all at once
chozou,貯蔵,storage preservation
mondou,問答,questions and answers
yuukou,友好,friendship
kansetsu,間接,indirect indirection
shojun,初旬,first 10 days of the month
tanpen,短編,short story
hibiku,響く,to resound reverberate shake vibrate
nagusameru,慰める,to comfort console amuse
yurui,緩い,loose lenient
taku,焚く,to burn kindle light
tsuru,吊る,to hang suspend
hekomu,凹む,to be dented
uchikesu,打ち消す,to deny contradict
ouzuru,応ずる,to answer respond
wariaini,割合に,comparatively
hanko,判子,seal stamp
kokoroatari,心当たり,having in mind
enshuu,円周,circumference
arasuji,粗筋,outline summary argument
sukitooru,透き通る,to be transparent clear
chijimeru,縮める,to shorten reduce condense
ronzuru,論ずる,to discuss talk about
kemui,煙い,smoky
otoshimono,落とし物,lose property
suzumu,涼む,to cool off
hanareru,放れる,to get free from to be released
kutouten,句読点,punctuation mark
burasageru,ぶら下げる,to hang suspend dangle
ryoushuu,領収,receipt
usumeru,薄める,to dilute to water down
kanwa,漢和,china and japan chinese and japanese
gairon,概論,introduction outline
warizan,割り算,division
sakusei,作製,manufacture production
jishuu,自習,self study teaching oneself
maku,蒔く,to sow plant seed
onchuu,御中,for the attention of
nemaki,寝巻き,nightclothes nightwear pajamas
shasei,写生,sketching drawing
soroban,そろばん,abacus
toku,溶く,to mix to melt
tenugui,手ぬぐい,hand towel
omoikkiri,思いっきり,to ones hearts content
warito,割と,comparatively relatively fairly
kiru,斬る,to kill a human with a blade
shoumi,正味,net amount
youbun,養分,nourishment nutrient
yakou,夜行,night travel
sokuryoku,速力,speed
naninani,何々,what such and such
gekizou,激増,sharp increase sudden rise
kouchi,耕地,farmland farm land
shinro,針路,course direction
shiasatte,明々後日,in three days time
koushite,こうして,thus in this way
unto,うんと,a great deal very much a lot
okinodokuni,お気の毒に,my condolences thats too bad
hajimemashite,はじめまして,how do you do
shaburu,しゃぶる,to lick to suck
boro,ぼろ,rag scrap tattered clothes
shi-n,しーん,silently quietly
hakihaki,はきはき,briskly smartly promptly clearly
kochirakoso,こちらこそ,it is i who should say
sonotame,そのため,for that reason hence
douzoyoroshiku,どうぞよろしく,pleased to meet you
sonokoro,その頃,at that time in those days
juggo,述語,predicate
keiyoudoushi,形容動詞,adjectival noun
ojisan,おじさん,uncle old man mister
kama,釜,iron pot kettle
kantai,寒帯,frigid zone polar climate
kakou,火口,volcanic crater
musu,蒸す,to steam
marason,マラソン,marathon
reinko-to,レインコート,raincoat rain coat
ro-maji,ローマ字,latin roman alphabet
chippu,チップ,tip gratuity
furi-,フリー,free
daiaguramu,ダイアグラム,diagram
monore-ru,モノレール,monorail
sa-kuru,サークル,circle
u-man,ウーマン,woman
bukita,無沙汰,long silence not contacting
semete,攻め手,offense attacker method of attack
youhinten,洋品店,shop that sells western stuff
sensenshuu,先々週,week before last
miseya,店屋,store shop
zonzuru,存ずる,to think feel consider
hasu,斜,diagonal
ittemairimasu,行ってまいります,good bye im off see you
omachidoosama,お待ちどおさま,sorry to have kept you waiting
tsuide,序で,opportunity occasion chance
wan,碗,bowl
kumu,酌む,to pour sake to serve
sensengetsu,先々月,month before last
soreru,それる,to turn away to deviate
bakku,バック,back rear
nokeru,退ける,to move aside
chigiru,千切る,to tear to pieces shreds
waei,和英,japanese and english
magomago,まごまご,confused flustered
gomenkudasai,ごめんください,may I come in im sorry
kotozukeru,言付ける,to have someone send something
konbanha,こんばんは,good evening
heso,へそ,navel belly button
kana,仮名,kana
ojamashimasu,お邪魔します,please excuse the intrusion
tenisuko-to,テニスコート,tennis court
birudingu,ビルディング,tall building
zemi,ゼミ,seminar
ro-nchi,ローンチ,launch
taia,タイア,tire
sorenanoni,それなのに,and yet despite this but even so
okakekudasai,おかけください,please sit down have a seat
issakusakujitsu,一昨昨日,three days ago
itsu,佚,being comfortable relaxing
